sku,image,image+AF8-label,small+AF8-image,small+AF8-image+AF8-label
912,/uploads/2013/12/Blooming+AC0-Tea.jpg,Blooming+AC0-Tea.jpg,,
921,/uploads/2012/02/c232+AF8-matcha+AC0-patissier.jpg,c232+AF8-matcha+AC0-patissier.jpg,,
927,/uploads/2012/02/RASPBERRY+AC0-DREAMMMMM.jpg,RASPBERRY+AC0-DREAMMMMM.jpg,,
929,/uploads/2012/02/chai+AC0-tea.jpg,chai+AC0-tea.jpg,,
931,/uploads/2012/02/264682+AF8-116553558438862+AF8-100002526563545+AF8-131397+AF8-2873861+AF8-n.jpg,264682+AF8-116553558438862+AF8-100002526563545+AF8-131397+AF8-2873861+AF8-n.jpg,,
940,/uploads/2012/02/jasmine+AF8-pearl+AF8-oolong.jpg,jasmine+AF8-pearl+AF8-oolong.jpg,,
946,/uploads/2012/08/229641+AF8-124921580935393+AF8-4004189+AF8-n.jpg,229641+AF8-124921580935393+AF8-4004189+AF8-n.jpg,,
1068,/uploads/2012/02/314305+AF8-232332510153961+AF8-194617273925485+AF8-585349+AF8-329569958+AF8-n.jpg,314305+AF8-232332510153961+AF8-194617273925485+AF8-585349+AF8-329569958+AF8-n.jpg,,
1113,/uploads/2012/07/te+AC0-rojo+AC0-rosas.jpg,te+AC0-rojo+AC0-rosas.jpg,,
1238,/uploads/2012/12/T+AOkALQ-Verde+AC0-Botones+AC0-Jazm+AO0ArQ-n+AC0-1024x869.jpg,T+AOkALQ-Verde+AC0-Botones+AC0-Jazm+AO0ArQ-n+AC0-1024x869.jpg,,
1265,/uploads/2012/12/Spicy+AC0-Muse+AC0-3.jpg,Spicy+AC0-Muse+AC0-3.jpg,,
1414,/uploads/2013/12/Blooming+AC0-Tea.jpg,Blooming+AC0-Tea.jpg,,
1416,/uploads/2013/12/Blooming+AC0-Tea.jpg,Blooming+AC0-Tea.jpg,,
1486,/uploads/2012/12/T+AOkALQ-Verde+AC0-Botones+AC0-Jazm+AO0ArQ-n+AC0-1024x869.jpg,T+AOkALQ-Verde+AC0-Botones+AC0-Jazm+AO0ArQ-n+AC0-1024x869.jpg,,
1488,/uploads/2012/12/Jasmin2.jpg,Jasmin2.jpg,,
1540,/uploads/2012/12/Spicy+AC0-Muse+AC0-3.jpg,Spicy+AC0-Muse+AC0-3.jpg,,
1549,/uploads/2012/12/Spicy1.jpg,Spicy1.jpg,,
1575,/uploads/2013/12/Bolsa+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Durazno.jpg,Bolsa+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Durazno.jpg,,
1586,/uploads/2013/12/Bolsa+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Durazno.jpg,Bolsa+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Durazno.jpg,,
1590,/uploads/2013/12/Frasco+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Durazno.jpg,Frasco+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Durazno.jpg,,
1609,/uploads/2013/12/T+AOkALQ-Verde+AC0-Menta+AC0-1.jpg,T+AOkALQ-Verde+AC0-Menta+AC0-1.jpg,,
1618,/uploads/2013/12/T+AOkALQ-Verde+AC0-Menta+AC0-1.jpg,T+AOkALQ-Verde+AC0-Menta+AC0-1.jpg,,
1623,/uploads/2013/12/Frasco+AF8-50+AF8-Te+AF8-Verde+AF8-Con+AF8-Menta.jpg,Frasco+AF8-50+AF8-Te+AF8-Verde+AF8-Con+AF8-Menta.jpg,,
1642,/uploads/2013/12/Bolsa+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Guayaba.jpg,Bolsa+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Guayaba.jpg,,
1657,/uploads/2013/12/Bolsa+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Guayaba.jpg,Bolsa+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Guayaba.jpg,,
1661,/uploads/2013/12/Frasco+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Guayaba.jpg,Frasco+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Guayaba.jpg,,
1674,/uploads/2013/12/T+AOkALQ-Verde+AC0-Jazm+AO0ArQ-n.jpg,T+AOkALQ-Verde+AC0-Jazm+AO0ArQ-n.jpg,,
1686,/uploads/2013/12/T+AOkALQ-Verde+AC0-Jazm+AO0ArQ-n.jpg,T+AOkALQ-Verde+AC0-Jazm+AO0ArQ-n.jpg,,
1689,/uploads/2013/12/Frasco+AC0-50+AC0-Te+AC0-Verde+AC0-con+AC0-Jazmin1.jpg,Frasco+AC0-50+AC0-Te+AC0-Verde+AC0-con+AC0-Jazmin1.jpg,,
1706,/uploads/2013/12/T+AOkALQ-Verde+AC0-Manzana1.jpg,T+AOkALQ-Verde+AC0-Manzana1.jpg,,
1712,/uploads/2013/12/T+AOkALQ-Verde+AC0-Manzana1.jpg,T+AOkALQ-Verde+AC0-Manzana1.jpg,,
1716,/uploads/2013/12/Frasco+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Manzana.jpg,Frasco+AF8-50+AF8-Te+AF8-Verde+AF8-con+AF8-Manzana.jpg,,
1738,/uploads/2012/07/te+AC0-rojo+AC0-rosas.jpg,te+AC0-rojo+AC0-rosas.jpg,,
1743,/uploads/2012/07/te+AC0-rojo+AC0-rosas.jpg,te+AC0-rojo+AC0-rosas.jpg,,
1759,/uploads/2013/12/Bolsa+AF8-50+AF8-Te+AF8-Rojo+AF8-Ginseng.jpg,Bolsa+AF8-50+AF8-Te+AF8-Rojo+AF8-Ginseng.jpg,,
1767,/uploads/2013/12/Bolsa+AF8-50+AF8-Te+AF8-Rojo+AF8-Ginseng.jpg,Bolsa+AF8-50+AF8-Te+AF8-Rojo+AF8-Ginseng.jpg,,
